Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 536,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/536,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to extend the energy credit for qualified biogas property.,"Scholten, Hillary J. [Rep.-D-MI-3] (Introduced 01/16/2025)",Democratic,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Valadao, David G. [Rep.-R-CA-22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 535,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/535,119th Congress (2025-2026),"To amend the Federal Election Campaign Act of 1971 to prohibit certain donations to Inaugural Committees, to establish limitations on donations to Inaugural Committees, to require certain reporting by Inaugural Committees, and for other purposes.","Scanlon, Mary Gay [Rep.-D-PA-5] (Introduced 01/16/2025)",Democratic,1/16/2025,"House - House Administration, Oversight and Government Reform","Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"Norton, Eleanor Holmes [Del.-D-DC]","Tlaib, Rashida [Rep.-D-MI-12]","Tonko, Paul [Rep.-D-NY-20]","Mullin, Kevin [Rep.-D-CA-15]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]","Balint, Becca [Rep.-D-VT-At Large]","Raskin, Jamie [Rep.-D-MD-8]","Carson, André [Rep.-D-IN-7]","Crockett, Jasmine [Rep.-D-TX-30]","Ocasio-Cortez, Alexandria [Rep.-D-NY-14]","Morelle, Joseph D. [Rep.-D-NY-25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 534,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/534,119th Congress (2025-2026),"To authorize certain States to take certain actions on certain Federal land to secure an international border of the United States, and for other purposes.","Rouzer, David [Rep.-R-NC-7] (Introduced 01/16/2025)",Republican,1/16/2025,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"McCaul, Michael T. [Rep.-R-TX-10]","Pfluger, August [Rep.-R-TX-11]","Nehls, Troy E. [Rep.-R-TX-22]","Meuser, Daniel [Rep.-R-PA-9]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Tenney, Claudia [Rep.-R-NY-24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 533,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/533,119th Congress (2025-2026),"To make reforms to the Bank Secrecy Act, and for other purposes.","Rose, John W. [Rep.-R-TN-6] (Introduced 01/16/2025)",Republican,1/16/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/16/2025,"Ogles, Andrew [Rep.-R-TN-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 532,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/532,119th Congress (2025-2026),"To authorize for a grant program for handgun licensing programs, and for other purposes.","Raskin, Jamie [Rep.-D-MD-8] (Introduced 01/16/2025)",Democratic,1/16/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/16/2025,"Hayes, Jahana [Rep.-D-CT-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 531,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/531,119th Congress (2025-2026),"To amend the South Pacific Tuna Act of 1988, and for other purposes.","Radewagen, Aumua Amata Coleman [Del.-R-AS] (Introduced 01/16/2025)",Republican,1/16/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/16/2025,"Case, Ed [Rep.-D-HI-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 530,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/530,119th Congress (2025-2026),"To provide for a study by the National Academies of Sciences, Engineering, and Medicine on the prevalence and mortality of cancer among individuals who served as active duty aircrew in the Armed Forces, and for other purposes.","Pfluger, August [Rep.-R-TX-11] (Introduced 01/16/2025)",Republican,1/16/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/16/2025,"Panetta, Jimmy [Rep.-D-CA-19]","Miller-Meeks, Mariannette [Rep.-R-IA-1]","Ryan, Patrick [Rep.-D-NY-18]","Wittman, Robert J. [Rep.-R-VA-1]","Moulton, Seth [Rep.-D-MA-6]","Ellzey, Jake [Rep.-R-TX-6]","Davis, Donald G. [Rep.-D-NC-1]","Van Duyne, Beth [Rep.-R-TX-24]","Valadao, David G. [Rep.-R-CA-22]","Webster, Daniel [Rep.-R-FL-11]","Lee, Susie [Rep.-D-NV-3]","Simpson, Michael K. [Rep.-R-ID-2]","Franklin, Scott [Rep.-R-FL-18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 529,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/529,119th Congress (2025-2026),"To amend the Help America Vote Act of 2002 to establish deadlines for States to count the ballots cast in elections for Federal office and to certify the results of such elections, and for other purposes.","Pfluger, August [Rep.-R-TX-11] (Introduced 01/16/2025)",Republican,1/16/2025,House - House Administration,Referred to the House Committee on House Administration.,1/16/2025,"Babin, Brian [Rep.-R-TX-36]","Tenney, Claudia [Rep.-R-NY-24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 528,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/528,119th Congress (2025-2026),"To require the Secretary of the Interior to carry out a program for post-disaster reforestation and restoration Program, and for other purposes.","Pettersen, Brittany [Rep.-D-CO-7] (Introduced 01/16/2025)",Democratic,1/16/2025,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"Edwards, Chuck [Rep.-R-NC-11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 527,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/527,119th Congress (2025-2026),"To direct the Secretary of the Interior, acting through the Director of the United States Geological Survey, to establish a grant program for monitoring wildfires by satellite.","Pettersen, Brittany [Rep.-D-CO-7] (Introduced 01/16/2025)",Democratic,1/16/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/16/2025,"Obernolte, Jay [Rep.-R-CA-23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 526,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/526,119th Congress (2025-2026),"To amend the Mineral Leasing Act to make certain adjustments to the royalty rates for leases for oil and gas extraction on Federal land, and for other purposes.","Ogles, Andrew [Rep.-R-TN-5] (Introduced 01/16/2025)",Republican,1/16/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/16/2025,"Pfluger, August [Rep.-R-TX-11]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Brecheen, Josh [Rep.-R-OK-2]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Maloy, Celeste [Rep.-R-UT-2]","Williams, Roger [Rep.-R-TX-25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 525,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/525,119th Congress (2025-2026),To prohibit funding to the Government of the Republic of Honduras.,"Ogles, Andrew [Rep.-R-TN-5] (Introduced 01/16/2025)",Republican,1/16/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/16/2025,"Salazar, Maria Elvira [Rep.-R-FL-27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 524,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/524,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to deny certain green energy tax benefits to companies connected to certain countries of concern.,"Moolenaar, John R. [Rep.-R-MI-2] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"LaHood, Darin [Rep.-R-IL-16]","Golden, Jared F. [Rep.-D-ME-2]","Bergman, Jack [Rep.-R-MI-1]","Huizenga, Bill [Rep.-R-MI-4]","Walberg, Tim [Rep.-R-MI-5]","Barrett, Tom [Rep.-R-MI-7]","James, John [Rep.-R-MI-10]","Bost, Mike [Rep.-R-IL-12]","Malliotakis, Nicole [Rep.-R-NY-11]","Tenney, Claudia [Rep.-R-NY-24]","Cline, Ben [Rep.-R-VA-6]","Kelly, Mike [Rep.-R-PA-16]","Rouzer, David [Rep.-R-NC-7]","Schweikert, David [Rep.-R-AZ-1]","Allen, Rick W. [Rep.-R-GA-12]","Newhouse, Dan [Rep.-R-WA-4]","Finstad, Brad [Rep.-R-MN-1]","Murphy, Gregory F. [Rep.-R-NC-3]","Dunn, Neal P. [Rep.-R-FL-2]","Gimenez, Carlos A. [Rep.-R-FL-28]","Ellzey, Jake [Rep.-R-TX-6]","Palmer, Gary J. [Rep.-R-AL-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 523,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/523,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to permanently increase the standard deduction.,"Miller, Max L. [Rep.-R-OH-7] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Feenstra, Randy [Rep.-R-IA-4]","Smith, Adrian [Rep.-R-NE-3]","LaHood, Darin [Rep.-R-IL-16]","Miller, Carol D. [Rep.-R-WV-1]","Tenney, Claudia [Rep.-R-NY-24]","Estes, Ron [Rep.-R-KS-4]","Van Duyne, Beth [Rep.-R-TX-24]","Kustoff, David [Rep.-R-TN-8]","Finstad, Brad [Rep.-R-MN-1]","Calvert, Ken [Rep.-R-CA-41]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 522,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/522,119th Congress (2025-2026),To ensure equal treatment for certain faith-based organizations in certain Small Business Administration programs.,"Mann, Tracey [Rep.-R-KS-1] (Introduced 01/16/2025)",Republican,1/16/2025,House - Small Business,Referred to the House Committee on Small Business.,1/16/2025,"Schmidt, Derek [Rep.-R-KS-2]","Babin, Brian [Rep.-R-TX-36]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 521,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/521,119th Congress (2025-2026),To reserve to Congress the authority to establish or extend a national monument.,"Maloy, Celeste [Rep.-R-UT-2] (Introduced 01/16/2025)",Republican,1/16/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/16/2025,"Amodei, Mark E. [Rep.-R-NV-2]","LaMalfa, Doug [Rep.-R-CA-1]","Gosar, Paul A. [Rep.-R-AZ-9]","Moore, Blake D. [Rep.-R-UT-1]","Begich, Nicholas [Rep.-R-AK-At Large]","Newhouse, Dan [Rep.-R-WA-4]","Stauber, Pete [Rep.-R-MN-8]","Fischbach, Michelle [Rep.-R-MN-7]","Estes, Ron [Rep.-R-KS-4]","Owens, Burgess [Rep.-R-UT-4]","Kennedy, Mike [Rep.-R-UT-3]","Fong, Vince [Rep.-R-CA-20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 520,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/520,119th Congress (2025-2026),"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to include an additional permissible use of amounts provided as grants under the Byrne JAG program, and for other purposes.","Luttrell, Morgan [Rep.-R-TX-8] (Introduced 01/16/2025)",Republican,1/16/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/16/2025,"Deluzio, Christopher R. [Rep.-D-PA-17]","Crenshaw, Dan [Rep.-R-TX-2]","Ellzey, Jake [Rep.-R-TX-6]","Wagner, Ann [Rep.-R-MO-2]","Garbarino, Andrew R. [Rep.-R-NY-2]","Ciscomani, Juan [Rep.-R-AZ-6]","Stauber, Pete [Rep.-R-MN-8]","Strong, Dale W. [Rep.-R-AL-5]","Lawler, Michael [Rep.-R-NY-17]","Mace, Nancy [Rep.-R-SC-1]","Bacon, Don [Rep.-R-NE-2]","Collins, Mike [Rep.-R-GA-10]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Salazar, Maria Elvira [Rep.-R-FL-27]","Miller-Meeks, Mariannette [Rep.-R-IA-1]","Guest, Michael [Rep.-R-MS-3]","Suozzi, Thomas R. [Rep.-D-NY-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 519,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/519,119th Congress (2025-2026),"To require the Inspector General to submit a report on the Federal subaward reporting system, and for other purposes.","Langworthy, Nicholas A. [Rep.-R-NY-23] (Introduced 01/16/2025)",Republican,1/16/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/16/2025,"Houlahan, Chrissy [Rep.-D-PA-6]","Lawler, Michael [Rep.-R-NY-17]","Davis, Donald G. [Rep.-D-NC-1]","Craig, Angie [Rep.-D-MN-2]","Guest, Michael [Rep.-R-MS-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 518,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/518,119th Congress (2025-2026),"To withhold the pay of Members of Congress in certain cases, and for other purposes.","LaLota, Nick [Rep.-R-NY-1] (Introduced 01/16/2025)",Republican,1/16/2025,House - House Administration,Referred to the House Committee on House Administration.,1/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 517,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/517,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to modify the rules for postponing certain deadlines by reason of disaster.,"Kustoff, David [Rep.-R-TN-8] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Chu, Judy [Rep.-D-CA-28]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 516,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/516,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to modify the railroad track maintenance credit.,"Kelly, Mike [Rep.-R-PA-16] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Thompson, Mike [Rep.-D-CA-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 515,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/515,119th Congress (2025-2026),"To amend title 10, United States Code, to prohibit discrimination in the Armed Forces.","Jacobs, Sara [Rep.-D-CA-51] (Introduced 01/16/2025)",Democratic,1/16/2025,House - Armed Services,Referred to the House Committee on Armed Services.,1/16/2025,"Sorensen, Eric [Rep.-D-IL-17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 514,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/514,119th Congress (2025-2026),"To establish a competitive bidding process for the relocation of the headquarters of Executive agencies, and for other purposes.","Hinson, Ashley [Rep.-R-IA-2] (Introduced 01/16/2025)",Republican,1/16/2025,"House - Oversight and Government Reform, Transportation and Infrastructure","Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"Golden, Jared F. [Rep.-D-ME-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 513,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/513,119th Congress (2025-2026),"To nullify certain Presidential withdrawals of unleased offshore land, amend the Outer Continental Shelf Lands Act to establish limits on the authority of the President to withdraw unleased offshore land, and for other purposes.","Higgins, Clay [Rep.-R-LA-3] (Introduced 01/16/2025)",Republican,1/16/2025,"House - Natural Resources, Rules","Referred to the Committee on Natural Resources, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"Hunt, Wesley [Rep.-R-TX-38]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Burchett, Tim [Rep.-R-TN-2]","Shreve, Jefferson [Rep.-R-IN-6]","Meuser, Daniel [Rep.-R-PA-9]","Arrington, Jodey C. [Rep.-R-TX-19]","Miller, Carol D. [Rep.-R-WV-1]","Crenshaw, Dan [Rep.-R-TX-2]","Brecheen, Josh [Rep.-R-OK-2]","Van Duyne, Beth [Rep.-R-TX-24]","Perry, Scott [Rep.-R-PA-10]","Tiffany, Thomas P. [Rep.-R-WI-7]","Miller, Mary E. [Rep.-R-IL-15]","Ogles, Andrew [Rep.-R-TN-5]","Burlison, Eric [Rep.-R-MO-7]","Clyde, Andrew S. [Rep.-R-GA-9]","Biggs, Andy [Rep.-R-AZ-5]","Harris, Andy [Rep.-R-MD-1]","Moore, Barry [Rep.-R-AL-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,0,,,,,,,,,,,
